Work_Order,Description,Location,Location_Normalized,Asset,Notes,Lead,Reported_Date,Reported_Timestamp,Target_Finish,Target_Finish_Timestamp,Actual_Finish,Actual_Finish_Timestamp,Priority,Priority_Int,Priority_InvalidValue,Work_Type,Status,History,Is_dynamic,Dynamic_Job_Plan_applied,Site
23-53605,CHECK OIL LEVEL,AG-1304,AG-1304,1179,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-22-24 12:30 AM,2024-01-22T00:30:00.000Z,1-23-24 8:02 AM,2024-01-23T08:02:00.000Z,4,4,,PD,CLOSE,Y,,NO,CHATHAM
23-53604,EXTRACT OIL SAMPLE,AG-1304,AG-1304,1179,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-22-24 12:30 AM,2024-01-22T00:30:00.000Z,1-23-24 8:02 AM,2024-01-23T08:02:00.000Z,4,4,,PD,CLOSE,Y,,NO,CHATHAM
23-53603,PREPARATION OF CONTAINERS,AG-1304,AG-1304,1179,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-22-24 12:00 AM,2024-01-22T00:00:00.000Z,1-23-24 8:02 AM,2024-01-23T08:02:00.000Z,4,4,,PD,CLOSE,Y,,NO,CHATHAM
23-53602,AG-1304 - OIL SAMPLING,AG-1304,AG-1304,1179,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-22-24 12:30 AM,2024-01-22T00:30:00.000Z,1-22-24 1:00 AM,2024-01-22T01:00:00.000Z,4,4,,PD,CLOSE,Y,N,NO,CHATHAM
23-53601,TRANSFORMER  MONTHLY CHECK,3800,3800,,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-17-24 12:45 AM,2024-01-17T00:45:00.000Z,1-17-24 4:04 PM,2024-01-17T16:04:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53600,TRANSFORMER - (XFMR-3806)  - PM SERVICE,3800,3800,,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-17-24 12:45 AM,2024-01-17T00:45:00.000Z,1-17-24 12:30 AM,2024-01-17T00:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53599,TRANSFORMER  MONTHLY CHECK,3800,3800,,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-17-24 12:45 AM,2024-01-17T00:45:00.000Z,1-17-24 4:04 PM,2024-01-17T16:04:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53598,TRANSFORMER - (XFMR-3805)  - PM SERVICE,3800,3800,,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-17-24 12:45 AM,2024-01-17T00:45:00.000Z,1-17-24 12:30 AM,2024-01-17T00:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53597,TRANSFORMER  MONTHLY CHECK,3800,3800,,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-17-24 12:45 AM,2024-01-17T00:45:00.000Z,1-17-24 4:04 PM,2024-01-17T16:04:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53596,TRANSFORMER - (XFMR-3804)  - PM SERVICE,3800,3800,,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-17-24 12:45 AM,2024-01-17T00:45:00.000Z,1-17-24 12:30 AM,2024-01-17T00:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53595,TRANSFORMER  MONTHLY CHECK,3800,3800,,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-17-24 12:45 AM,2024-01-17T00:45:00.000Z,1-17-24 4:04 PM,2024-01-17T16:04:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53594,TRANSFORMER - (XFMR-3803)  - PM SERVICE,3800,3800,,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-17-24 12:45 AM,2024-01-17T00:45:00.000Z,1-17-24 12:30 AM,2024-01-17T00:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53593,TRANSFORMER  MONTHLY CHECK,3800,3800,,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-17-24 12:45 AM,2024-01-17T00:45:00.000Z,1-17-24 4:04 PM,2024-01-17T16:04:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53592,TRANSFORMER - (XFMR-3802)  - PM SERVICE,3800,3800,,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-17-24 12:45 AM,2024-01-17T00:45:00.000Z,1-17-24 12:30 AM,2024-01-17T00:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53591,TRANSFORMER  MONTHLY CHECK,3800,3800,,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-17-24 12:45 AM,2024-01-17T00:45:00.000Z,1-17-24 4:05 PM,2024-01-17T16:05:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53590,TRANSFORMER - (XFMR-3801)  - PM SERVICE,3800,3800,,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-17-24 12:45 AM,2024-01-17T00:45:00.000Z,1-17-24 12:30 AM,2024-01-17T00:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53589,SC-1301 MECHANICAL CHECKS,SC-1301,SC-1301,4868,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-22-24 1:00 AM,2024-01-22T01:00:00.000Z,1-22-24 9:46 AM,2024-01-22T09:46:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53588,SC-1301 - MECHANICAL CHECKS,SC-1301,SC-1301,4868,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-22-24 1:00 AM,2024-01-22T01:00:00.000Z,1-22-24 1:00 AM,2024-01-22T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53587,ACCULOAD SCULLY CABLE BI-WEEKLY PM,FQIC-2203,FQIC-2203,7138,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-19-24 12:30 AM,2024-01-19T00:30:00.000Z,1-19-24 2:35 PM,2024-01-19T14:35:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53586,ACCULOAD SCULLY CABLE -PM SERVICE,FQIC-2203,FQIC-2203,7138,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-19-24 12:30 AM,2024-01-19T00:30:00.000Z,1-19-24 12:30 AM,2024-01-19T00:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53585,CORN PROBE PM + GREASING,SA-2101,SA-2101,4865,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-29-24 8:30 AM,2024-01-29T08:30:00.000Z,1-29-24 1:42 PM,2024-01-29T13:42:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53584,SA-2101 CORN PROBE - MECHANICAL  PM,SA-2101,SA-2101,4865,,,12-25-23 1:47 AM,2023-12-25T01:47:00.000Z,1-29-24 8:30 AM,2024-01-29T08:30:00.000Z,1-29-24 9:00 AM,2024-01-29T09:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53583,GIVE SAMPLE TO SHIPPER/RECEIVER,ME-3601A,ME-3601A,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-28-24 12:00 AM,2024-01-28T00:00:00.000Z,1-30-24 11:04 AM,2024-01-30T11:04:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53582,CHECK OIL LEVEL,ME-3601A,ME-3601A,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-28-24 12:30 AM,2024-01-28T00:30:00.000Z,1-30-24 11:04 AM,2024-01-30T11:04:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53581,EXTRACT OIL SAMPLE,ME-3601A,ME-3601A,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-28-24 12:30 AM,2024-01-28T00:30:00.000Z,1-30-24 11:04 AM,2024-01-30T11:04:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53580,PREPARATION OF CONTAINERS,ME-3601A,ME-3601A,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-28-24 12:00 AM,2024-01-28T00:00:00.000Z,1-30-24 11:04 AM,2024-01-30T11:04:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53579,ME-3601A - LUBE OIL SAMPLE,ME-3601A,ME-3601A,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-28-24 12:30 AM,2024-01-28T00:30:00.000Z,1-30-24 1:00 AM,2024-01-30T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53578,Check operation of biothane float in diked area,LSH-41401,LSH-41401,3081,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-22-24 12:30 AM,2024-01-22T00:30:00.000Z,1-25-24 3:23 PM,2024-01-25T15:23:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53577,BIOTHANE FLOAT OP CHECK- (LSH-41401) - PM SERVICE,LSH-41401,LSH-41401,3081,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-22-24 12:30 AM,2024-01-22T00:30:00.000Z,1-25-24 12:30 AM,2024-01-25T00:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53576,GIVE SAMPLE TO SHIPPER/RECEIVER,AG-1701,AG-1701,1193,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-19-24 12:00 AM,2024-01-19T00:00:00.000Z,1-18-24 3:32 PM,2024-01-18T15:32:00.000Z,4,4,,PD,CLOSE,Y,,NO,CHATHAM
23-53575,CHECK OIL LEVEL,AG-1701,AG-1701,1193,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-19-24 12:30 AM,2024-01-19T00:30:00.000Z,1-18-24 3:32 PM,2024-01-18T15:32:00.000Z,4,4,,PD,CLOSE,Y,,NO,CHATHAM
23-53574,EXTRACT OIL SAMPLE,AG-1701,AG-1701,1193,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-19-24 12:30 AM,2024-01-19T00:30:00.000Z,1-18-24 3:32 PM,2024-01-18T15:32:00.000Z,4,4,,PD,CLOSE,Y,,NO,CHATHAM
23-53573,PREPARATION OF CONTAINERS,AG-1701,AG-1701,1193,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-19-24 12:00 AM,2024-01-19T00:00:00.000Z,1-18-24 3:32 PM,2024-01-18T15:32:00.000Z,4,4,,PD,CLOSE,Y,,NO,CHATHAM
23-53572,AG-1701- OIL SAMPLING,AG-1701,AG-1701,1193,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-19-24 12:30 AM,2024-01-19T00:30:00.000Z,1-18-24 12:30 AM,2024-01-18T00:30:00.000Z,4,4,,PD,CLOSE,Y,N,NO,CHATHAM
23-53571,PROCEDURE - REGREASING OPTIM/ TECO INDUCTION MOTOR,1900,1900,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-18-24 12:00 AM,2024-01-18T00:00:00.000Z,1-24-24 5:50 PM,2024-01-24T17:50:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53570,1900 AREA - GREASE P.M.,1900,1900,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-18-24 1:00 AM,2024-01-18T01:00:00.000Z,1-24-24 5:50 PM,2024-01-24T17:50:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53569,1900 AREA - EQUIPMENT GREASING,1900,1900,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-18-24 1:00 AM,2024-01-18T01:00:00.000Z,1-24-24 1:00 AM,2024-01-24T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53568,PROCEDURE - REGREASING OPTIM/ TECO INDUCTION MOTOR,1500,1500,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-18-24 1:00 AM,2024-01-18T01:00:00.000Z,1-26-24 8:47 AM,2024-01-26T08:47:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53567,1500 Area 4 month grease PM routine,1500,1500,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-18-24 12:00 AM,2024-01-18T00:00:00.000Z,1-26-24 8:47 AM,2024-01-26T08:47:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53566,1500 AREA - MOTOR GREASING,1500,1500,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-18-24 1:00 AM,2024-01-18T01:00:00.000Z,1-25-24 1:00 AM,2024-01-25T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53565,GREASE BEARINGS USING ULTRASONIC,1300,1300,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-23-24 6:28 AM,2024-01-23T06:28:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53564,CLEAN BLOWER SHAFT GREASE FITTINGS OFF,1300,1300,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-23-24 6:28 AM,2024-01-23T06:28:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53563,GREASE NON-DRIVE END BEARING - SEE OPERATION #20,1300,1300,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-23-24 6:28 AM,2024-01-23T06:28:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53562,CLEAN NON-DRIVE END BEARING GREASE FITTING OFF,1300,1300,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-23-24 6:28 AM,2024-01-23T06:28:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53561,GREASE DRIVE END BEARING,1300,1300,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-23-24 6:28 AM,2024-01-23T06:28:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53560,CLEAN DRIVE END BEARING GREASE FITTING OFF,1300,1300,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-23-24 6:28 AM,2024-01-23T06:28:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53559,GREASE BEARING USING ULTRASONIC,1300,1300,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-23-24 6:28 AM,2024-01-23T06:28:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53558,CLEAN TAIL SHAFT GREASE FITTINGS OFF,1300,1300,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-23-24 6:28 AM,2024-01-23T06:28:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53557,GREASE BEARINGS USING ULTRASONIC,1300,1300,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-23-24 6:28 AM,2024-01-23T06:28:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53556,CLEAN HEAD SHAFT GREASE FITTINGS OFF,1300,1300,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-23-24 6:28 AM,2024-01-23T06:28:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53555,1300 AREA MECHANICAL EQUIPMENT GREASING,1300,1300,,,,12-25-23 1:46 AM,2023-12-25T01:46:00.000Z,1-25-24 6:00 AM,2024-01-25T06:00:00.000Z,1-22-24 2:00 AM,2024-01-22T02:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-53552,CE-1711 will not stay running without tripping on vibration,CE-1711,CE-1711,,,,12-21-23 2:38 PM,2023-12-21T14:38:00.000Z,12-22-23 1:21 PM,2023-12-22T13:21:00.000Z,1-5-24 8:35 AM,2024-01-05T08:35:00.000Z,2,2,,CO,CLOSE,Y,,NO,CHATHAM
23-53551,P-6608 Corn oil product pump leaks,P-6608,P-6608,3844,,,12-21-23 2:35 PM,2023-12-21T14:35:00.000Z,1-26-24 8:25 PM,2024-01-26T20:25:00.000Z,7-10-24 11:45 AM,2024-07-10T11:45:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53550,DROA - Air sweep solenoid sounds bad/leaking,HY-18219B,HY-18219B,6707,,,12-21-23 2:34 PM,2023-12-21T14:34:00.000Z,2-10-24 8:35 PM,2024-02-10T20:35:00.000Z,1-30-24 10:35 PM,2024-01-30T22:35:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53549,Condensate leak from steam heater,UH-1800-2,UH-1800-2,6664,,,12-21-23 2:31 PM,2023-12-21T14:31:00.000Z,1-26-24 8:43 PM,2024-01-26T20:43:00.000Z,1-12-24 10:44 AM,2024-01-12T10:44:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53547,Water line going to P1405 B suction is leaking - Install seal kit in Valve,P-1405B,P-1405B,1037,,,12-21-23 11:04 AM,2023-12-21T11:04:00.000Z,12-22-23 4:06 AM,2023-12-22T04:06:00.000Z,1-12-24 11:12 AM,2024-01-12T11:12:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53539,P-2303B - OIL CHANGE/ PM SERVICE,P-2303B,P-2303B,1120,,,12-20-23 4:14 PM,2023-12-20T16:14:00.000Z,,,6-28-24 12:14 PM,2024-06-28T12:14:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-53538,I/E - Steve Moore - Asbuild drawings for FE2601/2,FE-2601,FE-2601,1765,,,12-20-23 3:08 PM,2023-12-20T15:08:00.000Z,1-12-24 4:00 PM,2024-01-12T16:00:00.000Z,1-4-24 12:44 PM,2024-01-04T12:44:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53537,Emergency light at East end of men's changeroom battery is weak,BU-ADMIN,BU-ADMIN,,,,12-20-23 1:39 PM,2023-12-20T13:39:00.000Z,12-31-23 8:44 AM,2023-12-31T08:44:00.000Z,12-20-23 10:15 AM,2023-12-20T10:15:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53536,Readings from the H2S analyzer are erratic and are not matching handheld meter,AIT-41210,AIT-41210,6697,,,12-20-23 1:37 PM,2023-12-20T13:37:00.000Z,12-28-23 8:49 AM,2023-12-28T08:49:00.000Z,1-19-24 11:40 AM,2024-01-19T11:40:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53535,Back up scully not connecting,LSHH-39301F,LSHH-39301F,3112,,,12-20-23 1:32 PM,2023-12-20T13:32:00.000Z,12-29-23 2:45 PM,2023-12-29T14:45:00.000Z,12-20-23 3:45 PM,2023-12-20T15:45:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53534,Light burnt out by the weigh belt,SC-1301,SC-1301,4868,,,12-20-23 1:24 PM,2023-12-20T13:24:00.000Z,12-29-23 1:41 PM,2023-12-29T13:41:00.000Z,12-26-23 2:13 PM,2023-12-26T14:13:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53533,Slow Seal Pot Leak on P-1630,P-1630,P-1630,1002,,,12-20-23 1:21 PM,2023-12-20T13:21:00.000Z,5-31-24 3:48 PM,2024-05-31T15:48:00.000Z,5-27-24 10:09 AM,2024-05-27T10:09:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53532,Repair AG-1601 top shaft,AG-1601,AG-1601,1191,,,12-20-23 1:13 PM,2023-12-20T13:13:00.000Z,5-30-24 3:45 PM,2024-05-30T15:45:00.000Z,,,4,4,,CO,CAN,Y,,NO,CHATHAM
23-53531,RECOAT DA-3602 EXTERIOR SURFACES (SEE VT-20230426-TANTOM1-8723-GREENFIELDDA3602),DA-3602,DA-3602,1453,,,12-20-23 1:09 PM,2023-12-20T13:09:00.000Z,5-30-25 3:05 PM,2025-05-30T15:05:00.000Z,,,4,4,,SD,SCHED,N,,NO,CHATHAM
23-53530,TA 2024 - Repair ME3601 casing South end above Mud drum,ME-3601,ME-3601,3393,,,12-20-23 11:50 AM,2023-12-20T11:50:00.000Z,4-22-24 5:32 AM,2024-04-22T05:32:00.000Z,5-15-24 7:56 AM,2024-05-15T07:56:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53529,TA 2024 - Replace PSV-36802,PSV-36802,PSV-36802,4447,,,12-20-23 11:48 AM,2023-12-20T11:48:00.000Z,4-22-24 5:42 AM,2024-04-22T05:42:00.000Z,5-15-24 9:05 AM,2024-05-15T09:05:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53528,TA 2024 - Replace PSV-36803,PSV-36803,PSV-36803,4448,,,12-20-23 11:43 AM,2023-12-20T11:43:00.000Z,4-22-24 5:42 AM,2024-04-22T05:42:00.000Z,5-16-24 6:59 AM,2024-05-16T06:59:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53527,TA 2024 - Service PSV-36400,PSV-36701,PSV-36701,4441,,,12-20-23 11:40 AM,2023-12-20T11:40:00.000Z,4-22-24 5:23 AM,2024-04-22T05:23:00.000Z,5-16-24 6:58 AM,2024-05-16T06:58:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53526,"TA24 Spring: E-6571 - Open, Clean and Inspect",E-6571,E-6571,1579,,,12-20-23 11:34 AM,2023-12-20T11:34:00.000Z,5-20-24 9:31 AM,2024-05-20T09:31:00.000Z,5-23-24 3:08 PM,2024-05-23T15:08:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53525,"TA24 Spring: C-6571 - Open, Clean and Inspect",C-6571,C-6571,1374,,,12-20-23 11:31 AM,2023-12-20T11:31:00.000Z,5-31-24 9:31 AM,2024-05-31T09:31:00.000Z,5-23-24 1:06 PM,2024-05-23T13:06:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53524,TA24 Spring - Install mash building spinners,TK-1301,TK-1301,5450,,,12-20-23 11:29 AM,2023-12-20T11:29:00.000Z,4-30-24 6:00 PM,2024-04-30T18:00:00.000Z,5-22-24 9:28 AM,2024-05-22T09:28:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53523,TA24 Spring - Remove TGF pH probe before shutting down unit,AT-84505,AT-84505,6885,,,12-20-23 11:27 AM,2023-12-20T11:27:00.000Z,4-30-24 2:31 PM,2024-04-30T14:31:00.000Z,5-27-24 10:00 AM,2024-05-27T10:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53522,TA24 Spring - Clean solids from mash building vessels,TK-1301,TK-1301,5450,,,12-20-23 11:23 AM,2023-12-20T11:23:00.000Z,5-3-24 8:00 PM,2024-05-03T20:00:00.000Z,5-22-24 9:27 AM,2024-05-22T09:27:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53521,TA24 Spring - Remove scrubber pH probe before shutting down dryers,AE-84404,AE-84404,7174,,,12-20-23 11:21 AM,2023-12-20T11:21:00.000Z,4-30-24 2:39 PM,2024-04-30T14:39:00.000Z,5-27-24 10:00 AM,2024-05-27T10:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53520,TA24 Spring: V-1591A - Pre T/A Inspection,V-1591A,V-1591A,6300,,,12-20-23 11:18 AM,2023-12-20T11:18:00.000Z,5-20-24 10:34 AM,2024-05-20T10:34:00.000Z,5-24-24 10:08 AM,2024-05-24T10:08:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53519,TA24 Spring: V-1529 - Pre T/A Inspection,V-1529,V-1529,6293,,,12-20-23 11:16 AM,2023-12-20T11:16:00.000Z,5-20-24 10:28 AM,2024-05-20T10:28:00.000Z,5-24-24 10:06 AM,2024-05-24T10:06:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53518,TA24 Spring: E-6575 - Pre T/A Inspection,E-6575,E-6575,1580,,,12-20-23 11:14 AM,2023-12-20T11:14:00.000Z,5-20-24 10:21 AM,2024-05-20T10:21:00.000Z,5-23-24 3:09 PM,2024-05-23T15:09:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53517,TA24 Spring - MOC16-070 - Remove LG-13317,LG-13317,LG-13317,2952,,,12-20-23 11:11 AM,2023-12-20T11:11:00.000Z,5-31-24 10:42 AM,2024-05-31T10:42:00.000Z,8-9-24 9:13 AM,2024-08-09T09:13:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53516,TA24-fall-MOC23-042 - LG15414 Removal,LG-15414,LG-15414,2955,,,12-20-23 11:08 AM,2023-12-20T11:08:00.000Z,10-31-24 11:03 AM,2024-10-31T11:03:00.000Z,10-30-24 10:48 AM,2024-10-30T10:48:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53515,TA24 Spring - Clean out TK1901 solids,TK-1901,TK-1901,5474,,,12-20-23 10:59 AM,2023-12-20T10:59:00.000Z,5-10-24 3:12 PM,2024-05-10T15:12:00.000Z,5-22-24 10:48 AM,2024-05-22T10:48:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53514,TA24 Spring - Clean out TK1902 solids after BC CIP,TK-1902,TK-1902,5475,,,12-20-23 10:57 AM,2023-12-20T10:57:00.000Z,5-2-24 5:00 PM,2024-05-02T17:00:00.000Z,5-22-24 10:49 AM,2024-05-22T10:49:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53513,TA24 Spring - Clean out TK1902 solids before shutdown,TK-1902,TK-1902,5475,,,12-20-23 10:47 AM,2023-12-20T10:47:00.000Z,4-29-24 4:00 PM,2024-04-29T16:00:00.000Z,5-22-24 10:49 AM,2024-05-22T10:49:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53512,"TA24 Spring: V-6582 - Open, Clean & Inspect",V-6582,V-6582,6337,,,12-20-23 10:45 AM,2023-12-20T10:45:00.000Z,5-20-24 10:54 AM,2024-05-20T10:54:00.000Z,5-24-24 10:09 AM,2024-05-24T10:09:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53511,"TA24 Spring: V-6572 - Open, Clean & Inspect",V-6572,V-6572,6334,,,12-20-23 10:43 AM,2023-12-20T10:43:00.000Z,5-20-24 10:47 AM,2024-05-20T10:47:00.000Z,5-24-24 10:09 AM,2024-05-24T10:09:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53510,TA 2024 - Replace PSV-69203 during SD,PSV-69203,PSV-69203,4575,,,12-20-23 10:38 AM,2023-12-20T10:38:00.000Z,4-22-24 10:40 AM,2024-04-22T10:40:00.000Z,5-15-24 9:05 AM,2024-05-15T09:05:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-53509,MOC23-073 MC3 Accuload Batch Weight Change,FT-39605,FT-39605,2074,,,12-20-23 10:07 AM,2023-12-20T10:07:00.000Z,12-29-23 2:13 PM,2023-12-29T14:13:00.000Z,12-19-23 8:00 AM,2023-12-19T08:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
