WorkOrder_Asset,WorkOrder_Description,Work_Order,Location,Location_Normalized,Notes,Lead,Reported_Date,Reported_Timestamp,Target_Finish,Target_Finish_Timestamp,Actual_Finish,Actual_Finish_Timestamp,Priority,Priority_Int,Priority_InvalidValue,Work_Type,Status,History,Is_dynamic,Dynamic_Job_Plan_applied,Site,Assets,Asset_Descriptions,Parent,IsProblematic,Area,Tag_Full,INstrumentation_Location,Instrumentation_Type_,Instrumentation_Data_Type,Instrumentation_Data_Type_Meaning,INstrumentation_Type_Description,Role,Instrumentation_Description,Related_Location_Cleaned
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DR_UTIL_WTR,CH-DR_UTIL_WTR:P1836.STAIND,P-1836,P,STAIND,"Status indication (open/closed, run/stop)",Pump (asset),Equipment status,DRUM DR1826 MOTOR C AMPERAGE,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DR_UTIL_WTR,CH-DR_UTIL_WTR:P1837.STAIND,P-1837,P,STAIND,"Status indication (open/closed, run/stop)",Pump (asset),Equipment status,DRUM DR1826 MOTOR D AMPERAGE,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DR_UTIL_WTR,CH-DR_UTIL_WTR:TT35455.MEAS,TT-35455,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,DRUM DR1826 FRONT LUBEN TIMER,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DR_UTIL_WTR,CH-DR_UTIL_WTR:TT35456.MEAS,TT-35456,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,DRUM DR1826 REAR LUBE TIMER,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D,CH-DRYER_D:FIC84401.OUT,FIC-84401,FIC,OUT,Controller output / demand (CO),Flow indicating controller,Output/Demand,DRUM DR1826 MASTER  START,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D,CH-DRYER_D:LIC84401.OUT,LIC-84401,LIC,OUT,Controller output / demand (CO),Level indicating controller,Output/Demand,DRUM DR1826 MOTOR A AMPERAGE,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D,CH-DRYER_D:LIC84401.SPT,LIC-84401,LIC,SPT,Setpoint (SP),Level indicating controller,Setpoint,DRUM DR1826 MOTOR B AMPERAGE,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D,CH-DRYER_D:LY84401.OUT,LY-84401,LY,OUT,Controller output / demand (CO),Level final element demand,Output/Demand,DRUM DR1826 MOTOR C AMPERAGE,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D,CH-DRYER_D:MX1801D.STAIND,MX-1801D,MX,STAIND,"Status indication (open/closed, run/stop)",Mixer (asset),Equipment status,DRUM DR1826 MOTOR D AMPERAGE,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D,CH-DRYER_D:PT84402.PNT,PT-84402,PT,PNT,Point value / indication,Pressure transmitter,Measurement,DRUM DR1826 FRONT LUBEN TIMER,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D,CH-DRYER_D:SG8403A.STAIND,SG-8403A,SG,STAIND,"Status indication (open/closed, run/stop)",Speed/limit switch,Equipment status,DRUM DR1826 REAR LUBE TIMER,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D_BMS,CH-DRYER_D_BMS:TIC84302.SPT,TIC-84302,TIC,SPT,Setpoint (SP),Temperature indicating controller,Setpoint,DRUM DR1826 SPEED CONTROL,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D_BMS,CH-DRYER_D_BMS:TT84201.PNT,TT-84201,TT,PNT,Point value / indication,Temperature transmitter,Measurement,DRUM DR1826 SPEED CONTROL,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D_BMS,CH-DRYER_D_BMS:TT84203.PNT,TT-84203,TT,PNT,Point value / indication,Temperature transmitter,Measurement,DRUM DR1826 SPEED CONTROL,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D_BMS,CH-DRYER_D_BMS:TT84205.PNT,TT-84205,TT,PNT,Point value / indication,Temperature transmitter,Measurement,DRUM DR1826 SPEED SWITCH,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D_CY2,CH-DRYER_D_CY2:TT84317.PNT,TT-84317,TT,PNT,Point value / indication,Temperature transmitter,Measurement,DRUM DR1826 MOTOR 1 CONTROL,DR-1826
,Test auto lube system on A dryer,23-31560,DR-1826,DR-1826,,,1-9-23 7:43 AM,2023-01-09T07:43:00.000Z,1-12-23 5:00 PM,2023-01-12T17:00:00.000Z,1-11-23 9:00 AM,2023-01-11T09:00:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,"2541, 2542, 2543, 2544, 2545, 2547, 2549, 2550, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559","SWISS COMBI ROTARY DRYER DRUM, SEW GEARBOX - LEFT HAND DRIVE -, SEW GEARBOX - LEFT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, SEW GEARBOX - RIGHT HAND DRIVE, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC, TRUNNION (A) - LEFT HAND DRIVE, TRUNNION (B)- RIGHT HAND DRIVE, TRUNNION (D) - LEFT HAND DRIVE, TRUNNION (C) - RIGHT HAND DRIVE, THRUST ROLLER ASSEMBLY, THRUST ROLLER ASSEMBLY, TRUNNION LUBRICATION SYSTEM",,No,CH-DRYER_D_CY2,CH-DRYER_D_CY2:TT84318.PNT,TT-84318,TT,PNT,Point value / indication,Temperature transmitter,Measurement,DR1826 MASTR 2 MOTR SPD CTRL,DR-1826
